Sector,Ticker,Model,Mean IC,Mean RankIC,Hit Rate,Sharpe Ratio,Max Drawdown
Healthcare,PFE,Dual Fusion,0.0446099982439415,0.0506566278877491,0.3653846153846153,-0.2913374152562091,-0.0090405035532566
Healthcare,PFE,Price-Only,-0.0227777846302654,0.0208190800183071,0.4945054945054945,-0.4338168210400904,-0.0121480033801046
Healthcare,REGN,Dual Fusion,0.1046026344702383,0.1107713632776184,0.5823529411764706,0.959493089857672,-0.0157270870542285
Healthcare,REGN,Price-Only,0.1984613160401679,0.1624641674266788,0.572,0.458422069774386,-0.0136786024143034
Healthcare,UNH,Dual Fusion,-0.1061667491022982,-0.203090707377662,0.3726937269372694,-0.0113542086549985,-0.017701350725663
Healthcare,UNH,Price-Only,0.0980830021665931,0.1624768273933427,0.6071428571428571,0.7030310125004542,-0.015675838957357
Healthcare,VRTX,Dual Fusion,-0.1524435949567606,-0.1420456667411554,0.3925233644859813,0.213444117790646,-0.0069757371745598
Healthcare,VRTX,Price-Only,0.1548469945945126,0.2020420348698352,0.5157232704402516,0.7050020345535961,-0.0117368701805326
Energy,COP,Dual Fusion,-0.3353304454215604,-0.3491241751194393,0.3862660944206008,-0.6093649567178785,-0.0088792148584671
Energy,COP,Price-Only,-0.3689931387241874,-0.4319508078128767,0.2847222222222222,-1.814814866301107,-0.0168423632030476
Energy,CVX,Dual Fusion,-0.0704317558023306,-0.0203962703962703,0.4965034965034965,-0.193788885524603,-0.0073377656574089
Energy,CVX,Price-Only,0.111735577818657,0.153728630833205,0.521594684385382,0.2474273134524558,-0.0072070963219867
Energy,EOG,Dual Fusion,-0.3700898115224314,-0.3163296329888478,0.3317535545023696,-0.0265969819208717,-0.0047822957287752
Energy,EOG,Price-Only,-0.0398683962411224,-0.0274727289948269,0.5853658536585366,0.8246065849808255,-0.0101048822443734
Energy,HAL,Dual Fusion,-0.0238111622022166,-0.0307369146753019,0.4748603351955307,0.38354969900702,-0.0167330252959562
Energy,HAL,Price-Only,0.1453871332579745,0.1362181960585572,0.5365079365079365,0.1344309725067334,-0.0164534325577882
Energy,MPC,Dual Fusion,-0.3400705289641738,-0.3323048850134417,0.375609756097561,0.5515591706840273,-0.0089248783839248
Energy,MPC,Price-Only,-0.3080894891365757,-0.3105653912050257,0.375609756097561,-0.3699732820867231,-0.0152414162146594
Energy,OXY,Dual Fusion,-0.1952280573017133,-0.179726981962991,0.4672131147540984,0.2780037195943654,-0.0104911367187827
Energy,OXY,Price-Only,-0.102300623366108,-0.001922699448114,0.4788135593220339,-0.044814612381846,-0.0098154113627832
Energy,PSX,Dual Fusion,-0.5409972796718875,-0.6251715339702482,0.2348484848484848,-0.9876857580582228,-0.0073796070593953
Energy,PSX,Price-Only,-0.1583673336089476,-0.1694055944055943,0.4019138755980861,-2.643776529313076,-0.02235263043694
Energy,SLB,Dual Fusion,-0.2675701997523559,-0.348476677289221,0.4956011730205278,-0.6801018340113469,-0.0170922034944794
Energy,SLB,Price-Only,0.005798696732137,-0.0550882187448693,0.4586466165413533,-0.6127776440406646,-0.0133004690886227
Energy,VLO,Dual Fusion,-0.3467128949599584,-0.3156324458717497,0.3673469387755102,-1.9930851612252187,-0.0180446736024065
Energy,VLO,Price-Only,-0.3126179524903368,-0.3801185590515276,0.3567251461988304,-1.1869684498925277,-0.0142108796281138
Energy,XOM,Dual Fusion,-0.2417080283337645,-0.2563480209111277,0.3495145631067961,0.4348675959157387,-0.0048030609217612
Energy,XOM,Price-Only,-0.0338922210095246,0.004076378459558,0.4556962025316455,-0.1168704108939926,-0.0071918999739669
Consumer,CL,Dual Fusion,-0.1094312881537074,0.0195620078740157,0.4881889763779528,-1.1362620157640957,-0.0122184960613456
Consumer,CL,Price-Only,-0.1836799906077648,-0.238599920924307,0.4466019417475728,-0.2899803593746572,-0.005184894989128
Consumer,COST,Dual Fusion,-0.2633455139234449,-0.2187454704756135,0.5516014234875445,0.7363317126346598,-0.0089665106872244
Consumer,COST,Price-Only,-0.1640522737627972,-0.1722284785986013,0.5545454545454546,-0.1451263297809338,-0.0153649629958675
Consumer,DIS,Dual Fusion,0.0289532545882945,-0.0008488421665838,0.5619834710743802,0.47755292775948,-0.007647602558363
Consumer,DIS,Price-Only,-0.0656714965430588,-0.0180291273182387,0.5333333333333333,1.002860729741897,-0.0058283276065995
Consumer,HD,Dual Fusion,-0.4292196457164772,-0.4735785953177258,0.3626373626373626,-1.1210417978854743,-0.0093526925273172
Consumer,HD,Price-Only,0.05248403120502,-0.0431754116737954,0.5,0.5207854820782347,-0.0047687294169792
Consumer,KO,Dual Fusion,0.0873962143717775,0.0107879428873611,0.4426229508196721,-0.7126107183276651,-0.0036545591659426
Consumer,KO,Price-Only,-0.1325935858174205,-0.1351324669439544,0.3794871794871794,-1.1545857765436311,-0.01080782473961
Consumer,LOW,Dual Fusion,0.0236591001144471,0.1728222685512817,0.5204081632653061,-0.3246295142347903,-0.0091388033934042
Consumer,LOW,Price-Only,0.2081536124581983,0.1574298698192503,0.4642857142857143,1.094010019740795,-0.0039248748314283
Consumer,MCD,Dual Fusion,-0.2261566234276344,-0.2650121414166358,0.3444444444444444,-0.9024160903660128,-0.0113510025400596
Consumer,MCD,Price-Only,-0.0526758225415827,0.0013341812242047,0.3955223880597014,-1.6436928596771962,-0.0146573251601868
Consumer,MO,Dual Fusion,-0.1914197985349319,-0.2058634926962612,0.5229885057471264,-1.474711627758601,-0.0142076882120493
Consumer,MO,Price-Only,-0.3589988874059977,-0.4025592983854893,0.3620689655172414,-1.3624863248530197,-0.0099972044531326
Consumer,NKE,Dual Fusion,-0.142453391523415,-0.2232996823758365,0.4953051643192488,0.7378966678585756,-0.0117468217257324
Consumer,NKE,Price-Only,-0.1328984766930436,-0.1393644497081948,0.4384057971014493,0.4125496286809271,-0.0083441832209652
Consumer,PEP,Dual Fusion,0.1006076912796041,0.0144276900399108,0.3294797687861271,-3.384295670960242,-0.0234504116875826
Consumer,PEP,Price-Only,-0.0860336838986024,-0.0909511252393165,0.4680851063829787,0.5256854302189656,-0.0082324247765946
Consumer,PG,Dual Fusion,-0.2614726110313029,-0.2293473198193637,0.4122807017543859,-0.9183987099511192,-0.0051861410122648
